SKU_ID,Category,ABC_Class,Supplier_Name,Warehouse_Location,Received_Date,Last_Purchase_Date,Stock_Age_Days,Quantity_On_Hand,Damaged_Qty,Returns_Qty,Avg_Daily_Sales,Forecast_Next_30d,Reorder_Point,Safety_Stock,Lead_Time_Days,Total_Inventory_Value_USD,Supplier_OnTime_Pct,Inventory_Status
SKU_14996,Household,A,NextGen Traders,Chennai Warehouse,2024-06-11 00:00:00,2024-07-11,212,482.0,13,9,19.84,459.32,126,47,7.0,45555.63,82.64,Normal
SKU_10247,Snacks,C,NextGen Traders,Bangalore Warehouse,2024-11-24 00:00:00,2025-03-19,357,640.0,8,6,34.81,1072.54,110,75,5.0,36577.48,94.58,Normal
SKU_16215,Dairy,C,NextGen Traders,Chennai Warehouse,2023-02-01 00:00:00,2023-03-06,104,538.0,5,3,49.66,1891.81,118,66,12.0,23742.67,98.22,Overstock
SKU_13545,Bakery,A,Prime Distribution,Chennai Warehouse,2024-03-13 00:00:00,2024-06-04,161,530.0,9,2,20.0,662.42,119,11,8.0,49287.57,97.45,Low Stock
SKU_15397,Produce,B,Global Retail Supply,Chennai Warehouse,2023-05-01 00:00:00,2023-05-09,289,397.0,14,3,32.63,1115.41,128,42,3.0,16929.86,86.75,Overstock
SKU_13622,Produce,B,NextGen Traders,Mumbai Warehouse,2024-03-09 00:00:00,2024-05-09,116,410.0,2,0,29.3,1017.03,72,22,13.0,45763.43,96.7,Low Stock
SKU_10625,Beverages,C,Global Retail Supply,Chennai Warehouse,2024-11-25 00:00:00,2025-03-17,41,497.0,0,16,37.95,1422.56,96,63,10.0,16497.06,91.85,Normal
SKU_16468,Dairy,C,Prime Distribution,Delhi Warehouse,2023-05-02 00:00:00,2023-08-20,107,336.0,3,6,24.21,486.88,108,70,10.0,25425.57,96.56,Critical
SKU_13032,Frozen Foods,B,FreshMart Suppliers,Bangalore Warehouse,2024-10-09 00:00:00,2024-11-30,71,308.0,4,3,35.25,744.26,84,51,12.0,10756.97,86.25,Critical
SKU_14679,Frozen Foods,A,Global Retail Supply,Delhi Warehouse,2024-10-29 00:00:00,2025-02-10,297,551.0,14,11,32.38,760.64,139,89,9.0,35156.36,97.59,Overstock
SKU_12577,Snacks,B,Metro Supply Co,Kolkata Warehouse,2023-05-28 00:00:00,2023-07-24,291,367.0,13,0,21.79,616.38,158,55,4.0,41286.49,89.11,Normal
SKU_15347,Beverages,C,NextGen Traders,Kolkata Warehouse,2024-01-20 00:00:00,2024-03-17,53,341.0,11,9,23.96,888.9,132,30,16.0,23076.59,86.35,Overstock
SKU_15851,Beverages,A,NextGen Traders,Bangalore Warehouse,2023-01-25 00:00:00,2023-04-08,369,413.0,11,11,37.65,1281.16,150,60,6.0,34972.73,90.8,Normal
SKU_14102,Beverages,A,Global Retail Supply,Bangalore Warehouse,2025-02-25 00:00:00,2025-03-27,130,305.0,18,3,43.68,1195.31,140,53,15.0,18655.61,93.16,Low Stock
SKU_15871,Produce,B,NextGen Traders,Delhi Warehouse,2024-10-05 00:00:00,2024-10-14,162,141.0,8,4,41.62,1163.67,161,47,6.0,10066.96,93.46,Low Stock
SKU_12858,Household,C,Global Retail Supply,Delhi Warehouse,2023-04-06 00:00:00,2023-07-10,293,180.0,17,7,56.67,1596.78,144,68,8.0,7188.37,82.96,Critical
SKU_13269,Produce,C,Global Retail Supply,Chennai Warehouse,2023-10-01 00:00:00,2023-12-28,397,405.0,8,7,34.08,767.28,96,37,11.0,11379.06,96.57,Low Stock
SKU_13074,Personal Care,C,Prime Distribution,Kolkata Warehouse,2023-02-18 00:00:00,2023-05-16,103,427.0,6,5,30.92,1075.93,163,58,6.0,29985.38,93.14,Normal
SKU_11832,Snacks,B,FreshMart Suppliers,Chennai Warehouse,2023-09-10 00:00:00,2023-12-09,63,354.0,12,8,20.32,783.84,133,37,12.0,38477.57,82.76,Normal
SKU_10381,Frozen Foods,B,NextGen Traders,Chennai Warehouse,2023-10-17 00:00:00,2023-11-01,139,272.0,12,10,28.03,1000.54,137,65,8.0,18705.27,92.35,Overstock
SKU_13044,Snacks,B,FreshMart Suppliers,Bangalore Warehouse,2023-07-22 00:00:00,2023-10-27,292,416.0,5,2,32.08,686.36,91,46,16.0,11885.85,98.05,Normal
SKU_15037,Dairy,A,FreshMart Suppliers,Bangalore Warehouse,2024-03-24 00:00:00,2024-05-03,17,424.0,5,1,18.56,428.53,112,66,15.0,39826.28,95.3,Normal
SKU_10393,Frozen Foods,A,Prime Distribution,Chennai Warehouse,2023-12-05 00:00:00,2024-01-10,211,608.0,7,7,34.26,719.7,106,63,7.0,24755.37,92.94,Critical
SKU_13209,Produce,B,Metro Supply Co,Delhi Warehouse,2025-01-26 00:00:00,2025-03-16,263,251.0,20,9,30.87,1223.41,111,49,8.0,23012.25,84.54,Overstock
SKU_15166,Dairy,C,NextGen Traders,Chennai Warehouse,2023-12-23 00:00:00,2024-04-20,78,450.0,12,3,49.6,1747.71,100,91,9.0,37831.34,94.11,Overstock
SKU_13492,Frozen Foods,C,Urban Wholesale,Bangalore Warehouse,2024-06-15 00:00:00,2024-07-07,277,331.0,14,3,33.28,1293.68,154,78,13.0,39526.98,90.28,Critical
SKU_10435,Dairy,B,Metro Supply Co,Kolkata Warehouse,2024-01-10 00:00:00,2024-03-01,153,174.0,15,6,39.25,960.3,155,32,7.0,16836.03,94.46,Normal
