SKU_ID,Category,ABC_Class,Supplier_Name,Warehouse_Location,Received_Date,Last_Purchase_Date,Stock_Age_Days,Quantity_On_Hand,Damaged_Qty,Returns_Qty,Avg_Daily_Sales,Forecast_Next_30d,Reorder_Point,Safety_Stock,Lead_Time_Days,Total_Inventory_Value_USD,Supplier_OnTime_Pct,Inventory_Status,Inventory_Risk,Days_Of_Inventory,Purchase_Year,Purchase_Month,Purchase_Day
SKU_14996,Household,A,NextGen Traders,Chennai Warehouse,2024-06-11 00:00:00,2024-07-11,212,482.0,13,9,19.84,459.32,126,47,7.0,45555.63,82.64,Normal,Low Risk,24.294354838709676,2024,July,11
SKU_10247,Snacks,C,NextGen Traders,Bangalore Warehouse,2024-11-24 00:00:00,2025-03-19,357,640.0,8,6,34.81,1072.54,110,75,5.0,36577.48,94.58,Normal,Low Risk,18.385521401896007,2025,March,19
SKU_16215,Dairy,C,NextGen Traders,Chennai Warehouse,2023-02-01 00:00:00,2023-03-06,104,538.0,5,3,49.66,1891.81,118,66,12.0,23742.67,98.22,Overstock,Low Risk,10.833668948852196,2023,March,6
SKU_13545,Bakery,A,Prime Distribution,Chennai Warehouse,2024-03-13 00:00:00,2024-06-04,161,530.0,9,2,20.0,662.42,119,11,8.0,49287.57,97.45,Low Stock,High Risk,26.5,2024,June,4
SKU_15397,Produce,B,Global Retail Supply,Chennai Warehouse,2023-05-01 00:00:00,2023-05-09,289,397.0,14,3,32.63,1115.41,128,42,3.0,16929.86,86.75,Overstock,Low Risk,12.166717744406986,2023,May,9
SKU_13622,Produce,B,NextGen Traders,Mumbai Warehouse,2024-03-09 00:00:00,2024-05-09,116,410.0,2,0,29.3,1017.03,72,22,13.0,45763.43,96.7,Low Stock,High Risk,13.993174061433447,2024,May,9
SKU_10625,Beverages,C,Global Retail Supply,Chennai Warehouse,2024-11-25 00:00:00,2025-03-17,41,497.0,0,16,37.95,1422.56,96,63,10.0,16497.06,91.85,Normal,Low Risk,13.096179183135703,2025,March,17
SKU_16468,Dairy,C,Prime Distribution,Delhi Warehouse,2023-05-02 00:00:00,2023-08-20,107,336.0,3,6,24.21,486.88,108,70,10.0,25425.57,96.56,Critical,High Risk,13.878562577447335,2023,August,20
SKU_13032,Frozen Foods,B,FreshMart Suppliers,Bangalore Warehouse,2024-10-09 00:00:00,2024-11-30,71,308.0,4,3,35.25,744.26,84,51,12.0,10756.97,86.25,Critical,High Risk,8.73758865248227,2024,November,30
SKU_14679,Frozen Foods,A,Global Retail Supply,Delhi Warehouse,2024-10-29 00:00:00,2025-02-10,297,551.0,14,11,32.38,760.64,139,89,9.0,35156.36,97.59,Overstock,Low Risk,17.01667696108709,2025,February,10
SKU_12577,Snacks,B,Metro Supply Co,Kolkata Warehouse,2023-05-28 00:00:00,2023-07-24,291,367.0,13,0,21.79,616.38,158,55,4.0,41286.49,89.11,Normal,Low Risk,16.842588343276734,2023,July,24
SKU_15347,Beverages,C,NextGen Traders,Kolkata Warehouse,2024-01-20 00:00:00,2024-03-17,53,341.0,11,9,23.96,888.9,132,30,16.0,23076.59,86.35,Overstock,Low Risk,14.232053422370617,2024,March,17
SKU_15851,Beverages,A,NextGen Traders,Bangalore Warehouse,2023-01-25 00:00:00,2023-04-08,369,413.0,11,11,37.65,1281.16,150,60,6.0,34972.73,90.8,Normal,Low Risk,10.969455511288182,2023,April,8
SKU_14102,Beverages,A,Global Retail Supply,Bangalore Warehouse,2025-02-25 00:00:00,2025-03-27,130,305.0,18,3,43.68,1195.31,140,53,15.0,18655.61,93.16,Low Stock,High Risk,6.982600732600733,2025,March,27
SKU_15871,Produce,B,NextGen Traders,Delhi Warehouse,2024-10-05 00:00:00,2024-10-14,162,141.0,8,4,41.62,1163.67,161,47,6.0,10066.96,93.46,Low Stock,High Risk,3.3877943296492075,2024,October,14
SKU_12858,Household,C,Global Retail Supply,Delhi Warehouse,2023-04-06 00:00:00,2023-07-10,293,180.0,17,7,56.67,1596.78,144,68,8.0,7188.37,82.96,Critical,High Risk,3.1762837480148227,2023,July,10
SKU_13269,Produce,C,Global Retail Supply,Chennai Warehouse,2023-10-01 00:00:00,2023-12-28,397,405.0,8,7,34.08,767.28,96,37,11.0,11379.06,96.57,Low Stock,High Risk,11.88380281690141,2023,December,28
SKU_13074,Personal Care,C,Prime Distribution,Kolkata Warehouse,2023-02-18 00:00:00,2023-05-16,103,427.0,6,5,30.92,1075.93,163,58,6.0,29985.38,93.14,Normal,Low Risk,13.809831824062094,2023,May,16
SKU_11832,Snacks,B,FreshMart Suppliers,Chennai Warehouse,2023-09-10 00:00:00,2023-12-09,63,354.0,12,8,20.32,783.84,133,37,12.0,38477.57,82.76,Normal,Low Risk,17.421259842519685,2023,December,9
SKU_10381,Frozen Foods,B,NextGen Traders,Chennai Warehouse,2023-10-17 00:00:00,2023-11-01,139,272.0,12,10,28.03,1000.54,137,65,8.0,18705.27,92.35,Overstock,Low Risk,9.703888690688547,2023,November,1
SKU_13044,Snacks,B,FreshMart Suppliers,Bangalore Warehouse,2023-07-22 00:00:00,2023-10-27,292,416.0,5,2,32.08,686.36,91,46,16.0,11885.85,98.05,Normal,Low Risk,12.967581047381547,2023,October,27
SKU_15037,Dairy,A,FreshMart Suppliers,Bangalore Warehouse,2024-03-24 00:00:00,2024-05-03,17,424.0,5,1,18.56,428.53,112,66,15.0,39826.28,95.3,Normal,Low Risk,22.844827586206897,2024,May,3
SKU_10393,Frozen Foods,A,Prime Distribution,Chennai Warehouse,2023-12-05 00:00:00,2024-01-10,211,608.0,7,7,34.26,719.7,106,63,7.0,24755.37,92.94,Critical,High Risk,17.7466433158202,2024,January,10
SKU_13209,Produce,B,Metro Supply Co,Delhi Warehouse,2025-01-26 00:00:00,2025-03-16,263,251.0,20,9,30.87,1223.41,111,49,8.0,23012.25,84.54,Overstock,Low Risk,8.130871396177518,2025,March,16
SKU_15166,Dairy,C,NextGen Traders,Chennai Warehouse,2023-12-23 00:00:00,2024-04-20,78,450.0,12,3,49.6,1747.71,100,91,9.0,37831.34,94.11,Overstock,Low Risk,9.07258064516129,2024,April,20
SKU_13492,Frozen Foods,C,Urban Wholesale,Bangalore Warehouse,2024-06-15 00:00:00,2024-07-07,277,331.0,14,3,33.28,1293.68,154,78,13.0,39526.98,90.28,Critical,High Risk,9.945913461538462,2024,July,7
SKU_10435,Dairy,B,Metro Supply Co,Kolkata Warehouse,2024-01-10 00:00:00,2024-03-01,153,174.0,15,6,39.25,960.3,155,32,7.0,16836.03,94.46,Normal,Low Risk,4.43312101910828,2024,March,1
SKU_13518,Produce,A,Global Retail Supply,Mumbai Warehouse,2023-10-22 00:00:00,2023-12-05,149,471.0,11,10,31.14,1123.27,80,79,13.0,18142.43,89.82,Overstock,Low Risk,15.1252408477842,2023,December,5
SKU_16688,Beverages,B,Prime Distribution,Mumbai Warehouse,2023-05-21 00:00:00,2023-06-01,283,622.0,1,6,30.62,1117.26,119,35,8.0,31349.86,91.7,Low Stock,High Risk,20.31352057478772,2023,June,1
SKU_13276,Bakery,C,NextGen Traders,Mumbai Warehouse,2023-05-14 00:00:00,2023-07-14,62,537.0,6,3,33.55,1000.853939688716,79,54,9.0,37079.83,98.44,Critical,High Risk,16.005961251862892,2023,July,14
SKU_13891,Household,B,FreshMart Suppliers,Chennai Warehouse,2025-02-03 00:00:00,2025-03-06,296,538.0,10,1,24.53,680.96,140,53,10.0,32036.76,82.24,Normal,Low Risk,21.932327761924174,2025,March,6
SKU_15192,Produce,C,Global Retail Supply,Bangalore Warehouse,2023-08-03 00:00:00,2023-09-05,179,575.0,1,15,48.97,1013.6,101,37,13.0,68235.33,97.43,Normal,Low Risk,11.741882785378804,2023,September,5
SKU_10469,Produce,B,Metro Supply Co,Bangalore Warehouse,2024-11-23 00:00:00,2025-02-16,26,525.0,2,14,31.7,946.35,113,47,9.0,9804.7,96.57,Critical,High Risk,16.561514195583598,2025,February,16
SKU_14241,Household,B,Global Retail Supply,Chennai Warehouse,2024-01-02 00:00:00,2024-04-19,37,380.0,0,9,56.33,1601.9,108,30,12.0,7313.47,83.08,Normal,Low Risk,6.7459612994851765,2024,April,19
SKU_16536,Personal Care,B,NextGen Traders,Kolkata Warehouse,2023-07-21 00:00:00,2023-09-29,75,345.0,19,8,32.43,1104.87,75,41,8.0,14307.69,83.86,Critical,High Risk,10.638297872340425,2023,September,29
SKU_14224,Snacks,B,FreshMart Suppliers,Kolkata Warehouse,2025-02-17 00:00:00,2025-04-08,199,346.0,14,18,46.16,1291.19,119,85,15.0,39292.3,85.93,Low Stock,High Risk,7.495667244367418,2025,April,8
SKU_11022,Produce,A,FreshMart Suppliers,Delhi Warehouse,2024-02-02 00:00:00,2024-05-24,333,373.0,0,12,27.25,796.94,94,51,10.0,10271.42,89.92,Normal,Low Risk,13.688073394495413,2024,May,24
SKU_16622,Household,C,Metro Supply Co,Mumbai Warehouse,2023-02-05 00:00:00,2023-04-02,298,265.0,2,7,34.67,1365.22,141,89,12.0,29404.96,93.95,Critical,High Risk,7.6434958177098355,2023,April,2
SKU_14778,Personal Care,A,FreshMart Suppliers,Kolkata Warehouse,2023-12-12 00:00:00,2024-03-22,305,528.0,9,4,44.4,1346.28,127,65,7.0,38372.65,90.22,Low Stock,High Risk,11.891891891891893,2024,March,22
SKU_14157,Dairy,B,FreshMart Suppliers,Delhi Warehouse,2024-08-05 00:00:00,2024-11-26,376,390.0,6,12,35.82,1299.71,89,76,7.0,37686.68,83.9,Critical,High Risk,10.887772194304857,2024,November,26
SKU_12548,Dairy,C,Metro Supply Co,Mumbai Warehouse,2025-04-16 00:00:00,2025-04-19,7,473.0,11,10,33.21,1325.98,126,52,8.0,23154.5,89.89,Overstock,Low Risk,14.24269798253538,2025,April,19
SKU_13199,Bakery,C,NextGen Traders,Delhi Warehouse,2025-04-07 00:00:00,2025-07-30,39,364.0,13,1,30.45,1165.38,152,51,3.0,33116.09,97.44,Overstock,Low Risk,11.954022988505747,2025,July,30
SKU_15105,Snacks,B,NextGen Traders,Delhi Warehouse,2023-12-09 00:00:00,2024-01-20,227,476.0,10,10,41.59,1496.62,148,44,8.0,21215.64,96.24,Overstock,Low Risk,11.44505890839144,2024,January,20
